title,link
  Ford Fusion  2015 ,https://auto.ria.com/uk/auto_ford_fusion_33990747.html
  Ford Fusion  2017 ,https://auto.ria.com/uk/auto_ford_fusion_37268741.html
  Ford Focus  2015 ,https://auto.ria.com/uk/auto_ford_focus_33539535.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_36336781.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_36334005.html
  Ford Focus  2017 ,https://auto.ria.com/uk/auto_ford_focus_36159852.html
  Ford Mondeo  2015 ,https://auto.ria.com/uk/auto_ford_mondeo_35978176.html
  Ford Fusion  2017 ,https://auto.ria.com/uk/auto_ford_fusion_34409250.html
  Ford Focus  2017 ,https://auto.ria.com/uk/auto_ford_focus_33666193.html
  Ford Fusion  2017 ,https://auto.ria.com/uk/auto_ford_fusion_32841183.html
  Ford Fusion  2015 ,https://auto.ria.com/uk/auto_ford_fusion_31136141.html
  Ford Fusion  2017 ,https://auto.ria.com/uk/auto_ford_fusion_37268208.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_37268153.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_32880163.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_38073712.html
  Ford Focus  2017 ,https://auto.ria.com/uk/auto_ford_focus_37719842.html
  Ford Fiesta  2018 ,https://auto.ria.com/uk/auto_ford_fiesta_37267747.html
  Ford Focus  2016 ,https://auto.ria.com/uk/auto_ford_focus_37117488.html
  Ford Fusion  2019 ,https://auto.ria.com/uk/auto_ford_fusion_38073542.html
  Ford Fusion  2019 ,https://auto.ria.com/uk/auto_ford_fusion_38073159.html
  Ford Focus  2015 ,https://auto.ria.com/uk/auto_ford_focus_37266488.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_37976218.html
  Ford Fusion  2016 ,https://auto.ria.com/uk/auto_ford_fusion_36686875.html
  Ford Focus  2017 ,https://auto.ria.com/uk/auto_ford_focus_38072477.html
  Ford Fusion  2019 ,https://auto.ria.com/uk/auto_ford_fusion_36966135.html
