
31,"Конденсатор високовольтний керамічний 33 pF 2 kV, SL, 10%",https://radiodetali.com.ua/ua/product/kondensator-vysokovolytnyy-keramicheskiy-33-pf-2-kv-sl-10-74862,2.00 грн
32,"Конденсатор плівковий 220 pF 5% 2000VDC/700VAC, FKP1",https://radiodetali.com.ua/ua/product/kondensator-plenochnyy-220-pf-5-700-vac-2000-vdc-fkp1-52155,20.00 грн
33,"Конденсатор танталовий SMD 1 uF 16 V (A), 20%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-1-uf-16-v-a-20-71133,3.00 грн
34,"Конденсатор SMD 1206 1,2 pF 50 V, NP0 0,25 рF",https://radiodetali.com.ua/ua/product/kondensator-smd-1206-12-pf-50-v-np0-025-rf-1414,2.00 грн
35,"Конденсатор SMD 1206 1,8 pF 50 V, NP0 0,25 рF",https://radiodetali.com.ua/ua/product/kondensator-smd-1206-18-pf-50-v-np0-025-rf-1419,2.00 грн
36,"Конденсатор керамічний 36 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-36-pf-50-v-np0-5-44796,2.00 грн
37,"Конденсатор SMD 0603 22 pF 50 V, NPO, 5%",https://radiodetali.com.ua/ua/product/kondensator-smd-0603-22-pf-50-v-npo-5-71674,2.00 грн
38,"Конденсатор електролітичний 22 uF 50 V, 105C, d5 h11",https://radiodetali.com.ua/ua/product/kondensator-elektroliticheskiy-22-uf-50-v-105c-d5-h11-70541,3.00 грн
39,"Конденсатор електролітичний 2,2 uF 50 V, 85C, d5 h11",https://radiodetali.com.ua/ua/product/kondensator-elektroliticheskiy-22-uf-50-v-85c-d5-h11-35617,2.00 грн
40,"Конденсатор SMD 0805 4,3 pF 50 V, NP0, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0805-43-pf-50-v-np0-025pf-1285,2.00 грн
41,"Конденсатор високовольтний керамічний 68 pF 2 kV, SL, 10%",https://radiodetali.com.ua/ua/product/kondensator-vysokovolytnyy-keramicheskiy-68-pf-2-kv-y5p-10-42809,2.00 грн
42,"Конденсатор полімерний  220 uF 6,3 V,  d5 h7",https://radiodetali.com.ua/ua/product/kondensator-polimernyy-220-uf-63-v-d5-h7-60001,6.00 грн
43,"Конденсатор керамічний 33 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-33-pf-50-v-np0-5-85833,2.00 грн
44,"Конденсатор танталовий SMD 3,3 uF 25 V (A), 10%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-33-uf-25-v-a-10-39291,4.00 грн
45,"Конденсатор керамічний 43 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-43-pf-50-v-np0-5-44798,2.00 грн
46,"Конденсатор SMD 0603 22 pF 50 V, NPO, 5%",https://radiodetali.com.ua/ua/product/kondensator-smd-0603-22-pf-50-v-npo-5-53785,2.00 грн
47,"Конденсатор плівковий 1.5 nF 5% 850 V, KP/MKP375",https://radiodetali.com.ua/ua/product/kondensator-plenochnyy15-nf-5-630-v-kp-mkp375-65808,9.00 грн
48,"Конденсатор керамічний 56 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-56-pf-50-v-np0-5-64351,2.00 грн
49,"Конденсатор SMD 0805 3,6 pF 50 V, NP0, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0805-36-pf-50-v-np0-025pf-5108,2.00 грн
50,"Конденсатор полімерний  470 uF25 V,  d8 h12",https://radiodetali.com.ua/ua/product/kondensator-polimernyy-470-uf25-v-d8-h115-60012,14.00 грн
51,"Конденсатор танталовий SMD 0,47 uF 35 V (B) 10%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-047-uf-25-v-b-10-73525,3.00 грн
52,"Конденсатор керамічний 12 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-12-pf-50-v-np0-5-4517,2.00 грн
53,"Конденсатор високовольтний керамічний 56 pF 2 kV, SL, 10%",https://radiodetali.com.ua/ua/product/kondensator-vysokovolytnyy-keramicheskiy-56-pf-2-kv-sl-10-42813,2.00 грн
54,"Конденсатор SMD 0603 1,8 pF 50 V, NPO, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0603-18-pf-50-v-npo-025pf-20905,2.00 грн
55,"Конденсатор SMD 1206 1 pF 50 V, NP0 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-1206-1-pf-50-v-np0-025pf-16644,2.00 грн
56,"Конденсатор танталовий SMD 1 uF 25 V (A), 10%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-1-uf-25-v-a-10-61234,3.00 грн
57,"Конденсатор SMD 1206 1,5 pF 50 V, NP0 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-1206-15-pf-50-v-np0-025pf-1418,2.00 грн
58,"Конденсатор полімерний  100 uF 35 V,  d6.3 h9",https://radiodetali.com.ua/ua/product/kondensator-polimernyy-100-uf-35-v-d63-h9-59999,10.00 грн
59,"Конденсатор керамічний 2 pF 50 V, NPO, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-2-pf-50-v-npo-025pf-2175,2.00 грн
60,"Конденсатор танталовий SMD 4,7 uF 16 V (A), 10%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-47-uf-16-v-a-10-72378,3.00 грн
61,"Конденсатор електролітичний 0,68 uF 250 V, 105C, d8 h12",https://radiodetali.com.ua/ua/product/kondensator-elektroliticheskiy-068-uf-250-v-105c-d8-h12-1556,2.00 грн
62,"Конденсатор танталовий SMD 0,47 uF 35 V (B) 10%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-047-uf-25-v-b-10-73525,3.00 грн
63,"Конденсатор танталовий SMD 0,68 uF 20 V (A), 10%",https://radiodetali.com.ua/ua/product/kondensator-tantalovyy-smd-068-uf-20-v-a-10-61227,3.00 грн
64,"Конденсатор танталовий  10 uF 25 V, 20%, Rm2.5, ф5 h8",https://radiodetali.com.ua/ua/product/kond-tantal-10-uf-25-v-20-rm25-f5-h8-3676,2.00 грн
65,"Конденсатор SMD 0603 1,5 pF 50 V, NPO, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0603-15-pf-50-v-npo-025pf-4809,2.00 грн
66,"Конденсатор керамічний 33 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-33-pf-50-v-np0-5-85833,2.00 грн
67,"Конденсатор танталовий  22 uF 6,3 V, Rm2,5, ф4 h7",https://radiodetali.com.ua/ua/product/kond-tantal-22-uf-63-v-rm25-f4-h7-30589,3.00 грн
68,"Конденсатор електролітичний 1 uF 250 V, 105°C, d6,3 h11",https://radiodetali.com.ua/ua/product/kondensator-elektroliticheskiy-1-uf-250-v-105-c-d63-h11-69870,3.00 грн
69,"Конденсатор керамічний 36 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-36-pf-50-v-np0-5-44796,2.00 грн
70,"Конденсатор SMD 0805 2,7 pF 50 V, NP0, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0805-27-pf-50-v-np0-025pf-7596,2.00 грн
71,"Конденсатор керамічний 1 pF 50 V, NPO 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-1-pf-50-v-npo-025pf-2168,2.00 грн
72,"Конденсатор SMD 1206 1,2 pF 50 V, NP0 0,25 рF",https://radiodetali.com.ua/ua/product/kondensator-smd-1206-12-pf-50-v-np0-025-rf-1414,2.00 грн
73,"Конденсатор SMD 0805 1 pF 50 V, NP0, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0805-1-pf-50-v-np0-025pf-8243,2.00 грн
74,"Конденсатор керамічний 27 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-27-pf-50-v-np0-5-5369,2.00 грн
75,"Конденсатор керамічний 30 pF 50 V, NP0, 5%",https://radiodetali.com.ua/ua/product/kondensator-keramicheskiy-30-pf-50-v-np0-5-4520,2.00 грн
76,"Конденсатор SMD 0805 2,2 pF 50 V, NP0, 0.25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0805-22-pf-50-v-np0-025pf-3034,2.00 грн
77,"Конденсатор SMD 0402 1 uF 6,3 V, Y5V, +80-20%",https://radiodetali.com.ua/ua/product/kondensator-smd-0402-1-uf-63-v-y5v-80-20-40958,2.00 грн
78,"Конденсатор плівковий 2,2 nF 5%, 1400 V, KP/MKP375",https://radiodetali.com.ua/ua/product/kondensator-plenochnyy-22-nf-5-1400-v-kp-mkp375-31860,4.00 грн
79,"Конденсатор SMD 0805 5,1 pF 50 V, NP0, 0,25pF",https://radiodetali.com.ua/ua/product/kondensator-smd-0805-51-pf-50-v-np0-025pf-48145,2.00 грн
80,"Конденсатор SMD 0603 360 pF 50 V, NPO, 5%",https://radiodetali.com.ua/ua/product/kondensator-smd-0603-360-pf-50-v-npo-5-9451,2.00 грн
